开发商,运营商,背景,入库时间,测试次数,类型_MOBA,类型_体育,类型_动作角色扮演,类型_即时战略,类型_大型角色扮演,类型_弹幕射击,类型_战略角色扮演,类型_格斗,类型_模拟经营,类型_益智解谜,类型_社交,类型_竞速,类型_第一人称射击,类型_第三人称射击,类型_策略,类型_集换卡牌,类型_音乐,收费_一次性付费,收费_免费,收费_其他(运营模式未定),收费_未确定,收费_计时收费,收费_道具收费,模式_即时,模式_回合,题材_体育竞技,题材_历史,题材_奇幻,题材_武侠,题材_玄幻,题材_现代,题材_科幻,题材_魔幻,画风_Q版,画风_写实,画风_半Q版,画风_半写实,画面_2.5D,画面_2D,画面_3D
62,2,4,0,200409,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
63,0,0,0,200411,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
64,0,0,0,201406,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
65,2,0,0,201411,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
66,0,0,-1,201408,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
67,0,0,0,201408,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
68,1,0,0,200908,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
69,1,1,0,201204,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
70,0,0,0,201112,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
71,4,4,0,201311,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
72,0,0,0,201406,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
73,0,0,0,201609,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
